year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
1997,NEMU,279,287,8.877723432,11.64155624
1998,NEMU,273,271,5.317263731,8.844885906
1999,NEMU,283,291,4.103776434,9.60377234
2000,NEMU,281,287,2.89645766,6.69906885
2001,NEMU,281,284,4.396745724,1.668967712
1991,NYSY,266,279,3.552846849,4.243904005
1992,NYSY,262,284,6.188667846,10.03600782
1993,NYSY,276,281,5.850096035,5.646445826
1994,NYSY,267,274,3.628165447,5.631241253
1995,NYSY,272,279,8.97885044,12.68161238
1996,NYSY,273,283,1.3948553,2.725956333
1997,NYSY,272,280,7.945826168,3.148942708
1998,NYSY,271,280,6.339489631,12.36608278
1999,NYSY,273,281,2.160622524,2.473472811
2000,NYSY,270,282,11.76971327,13.77165789
2001,NYSY,279,286,4.968899035,6.661813207
2002,NYSY,276,291,10.1135325,6.68073415
2003,NYSY,279,288,5.537772918,7.370982314
2004,NYSY,274,281,2.641721662,1.319758497
2005,NYSY,278,289,2.960016395,4.473376884
2006,NYSY,269,280,9.219599114,10.94884208
2007,NYSY,271,284,4.747416403,4.625925662
2008,NYSY,272,282,3.146291354,2.836806664
2009,NYSY,277,289,10.5000525,12.85586704
2010,NYSY,272,283,4.969794232,9.516605355
2011,NYSY,275,283,8.065587964,5.810764466
2012,NYSY,274,282,5.987797127,6.943773289
2013,NYSY,270,280,7.938858713,8.034412694
2014,NYSY,271,280,10.86920931,13.17409942
2015,NYSY,280,290,4.741798829,7.71047054
2016,NYSY,281,289,3.969995331,7.88387915
2017,NYSY,272,281,2.740798738,5.301742658
2018,NYSY,280,290,4.830018089,3.803005256
2019,NYSY,271,281,6.729688027,1.501414861
2020,NYSY,276,283,11.67798711,10.32386952
2021,NYSY,277,286,4.568749878,4.813677518
2022,NYSY,277,287,1.055547625,3.278232335
1991,PIST,277,281,6.290057346,5.075495687
1992,PIST,NA,NA,5.471295546,10.76389201
1993,PIST,284,286,12.97956711,13.87865461
1994,PIST,266,282,6.054375576,13.21691666
1995,PIST,265,278,5.773473824,8.613755437
1996,PIST,277,286,15.94375523,16.52363616
1997,PIST,273,284,4.201010572,6.205136434
1998,PIST,275,286,10.0790711,6.751889289
1999,PIST,288,291,2.096592597,3.360524804
2000,PIST,279,289,3.854982321,2.757292184
2001,PIST,263,284,3.247899611,4.134377293
1991,POTR,290,298,6.38586171,6.626367359
1992,POTR,NA,305,4.693605037,6.01612019
1993,POTR,285,294,2.838744554,1.500766609
1994,POTR,292,300,6.997303512,6.534871748
1995,POTR,295,305,7.83409929,8.09020893
1996,POTR,290,298,8.033446459,9.716921236
1997,POTR,294,303,10.84646053,16.41963598
1998,POTR,288,296,1.289889624,4.302196239
1999,POTR,293,305,9.864785012,13.3868127
2000,POTR,288,301,4.4652123,4.347981679
2001,POTR,296,298,6.731820819,9.337689217
1991,PRSE,284,293,2.942483514,5.603042202
1992,PRSE,289,301,6.390312164,2.00304391
1993,PRSE,284,291,2.468926444,3.121281403
1994,PRSE,280,288,4.05466993,8.412016143
1995,PRSE,277,287,4.851294969,4.121696016
1996,PRSE,281,288,0.965942014,3.148327323
1997,PRSE,282,289,6.665221844,7.759186064
1998,PRSE,278,284,1.831163362,3.266411834
1999,PRSE,284,292,7.775833882,9.29617726
2000,PRSE,283,290,10.017641,10.00620107
2001,PRSE,285,293,2.9795153,4.934005299
2002,PRSE,289,300,9.645703939,9.717189892
2003,PRSE,281,287,1.345308282,1.736373636
2004,PRSE,284,287,9.682900306,7.115513908
2005,PRSE,290,301,3.921656348,4.636021472
2006,PRSE,282,277,7.345880684,5.711271711
2007,PRSE,285,290,7.703321062,5.443936095
2008,PRSE,284,293,7.227350707,14.60791939
2009,PRSE,285,296,3.103733685,5.00196852
2010,PRSE,284,294,0.577353156,4.011899626
2011,PRSE,288,296,10.90707071,10.85798686
2012,PRSE,283,288,2.045641267,5.129741254
2013,PRSE,286,289,9.498807144,9.616922368
2014,PRSE,287,290,10.51170105,13.47299869
2015,PRSE,290,299,4.342601168,5.467955786
2016,PRSE,288,293,15.35472262,17.30781691
2017,PRSE,286,291,1.5000075,2.222863465
2018,PRSE,294,298,10.92808076,10.90048405
2019,PRSE,279,291,5.92961648,5.783820589
2020,PRSE,281,290,5.14946986,2.194909558
2021,PRSE,289,290,8.078337285,5.476355573
2022,PRSE,280,290,1.092017279,3.638656385
1991,QUAL,278,290,6.634084196,7.310048056
1992,QUAL,285,297,4.408558907,5.707375269
1993,QUAL,275,289,10.06254945,10.49362065
1994,QUAL,267,283,4.202500439,3.558716102
1995,QUAL,277,289,11.07800592,12.53601575
1996,QUAL,283,294,15.84488052,23.08951033
1997,QUAL,280,290,8.846539249,15.18163066
1998,QUAL,275,289,14.22184576,18.13672602
1999,QUAL,283,292,2.309755846,7.606708415
2000,QUAL,280,295,8.112305399,9.997967455
2001,QUAL,282,294,4.966511856,7.232997196
2002,QUAL,286,304,1.265427464,1.563683956
2003,QUAL,282,298,2.410654297,3.014318091
2004,QUAL,284,299,3.024505287,2.185237492
2005,QUAL,285,298,2.524163124,1.262047576
2006,QUAL,275,290,1.610148938,3.856769142
2007,QUAL,281,292,4.002888712,2.58381058
2008,QUAL,281,295,1.473285708,3.276933613
2009,QUAL,281,297,10.33316166,10.51171003
2010,QUAL,281,294,14.53602354,12.20267256
2011,QUAL,282,297,3.80523848,4.821879043
2012,QUAL,282,292,11.61792068,11.20507516
2013,QUAL,278,288,3.814170081,3.184552137
2014,QUAL,279,289,10.22594361,7.20912761
2015,QUAL,284,299,5.54211886,7.883383138
2016,QUAL,289,303,7.84883088,2.100397361
2017,QUAL,279,294,5.241605624,4.711674923
2018,QUAL,284,294,5.903638129,6.554049034
2019,QUAL,283,292,4.001668141,3.634828954
2020,QUAL,287,298,1.491984175,3.651504635
2021,QUAL,287,300,8.00063565,11.83765879
2022,QUAL,282,297,2.411763769,4.930912796
1991,QURU,280,297,15.2656061,17.90587446
1992,QURU,NA,302,11.11760607,11.54982825
1993,QURU,288,302,3.490553622,1.984307342
1994,QURU,284,296,6.850997912,8.02777389
1995,QURU,284,296,3.461435841,6.549268686
1996,QURU,288,296,8.746351657,7.512446709
1997,QURU,289,305,2.892899613,2.643561446
1998,QURU,285,296,3.342725135,4.06599389
1999,QURU,289,301,6.982357261,1.881945568
2000,QURU,288,299,3.886158459,2.96734679
2001,QURU,289,303,4.369792765,6.279765772
2002,QURU,295,313,0.321107385,2.3881067
2003,QURU,290,304,0.774780034,3.927589836
2004,QURU,290,304,3.635742397,6.564698059
2005,QURU,295,308,14.14257186,9.635184371
2006,QURU,286,300,7.818524871,11.21069427
2007,QURU,293,307,6.059434542,4.016025558
2008,QURU,290,308,12.65820734,14.57122329
2009,QURU,292,305,3.534886909,3.626367127
2010,QURU,290,306,9.756599695,6.374644795
2011,QURU,293,311,6.598996046,7.602941062
2012,QURU,288,298,3.749268219,2.62748222
2013,QURU,287,299,5.575438282,4.387243214
2014,QURU,291,302,0.786604423,2.78937508
2015,QURU,298,309,3.149756904,2.280795726
2016,QURU,296,315,1.055857281,0.753910203
2017,QURU,301,313,2.081596355,2.910469034
2018,QURU,293,313,0.929291383,1.227772334
2019,QURU,288,302,12.7915466,8.069369522
2020,QURU,293,306,9.634379931,10.21736233
2021,QURU,298,316,4.179523972,4.219446524
2022,QURU,290,301,12.56031365,12.12584726
1991,QUVE,275,288,1.932964755,0.345756697
1992,QUVE,284,293,6.035832626,6.510921382
1993,QUVE,276,287,4.4383393,4.885093339
1994,QUVE,274,285,3.8192949,3.318679674
1995,QUVE,279,287,1.027759997,2.004484126
1996,QUVE,283,290,6.332770198,5.765906896
1997,QUVE,281,291,3.225385917,2.547242466
1998,QUVE,279,288,7.846334829,1.048399432
1999,QUVE,284,293,2.590351822,2.216955991
2000,QUVE,283,290,4.06668902,3.505946193
2001,QUVE,283,291,13.8234657,7.080790557
